Informazioni cronologiche,Name of compiler,Name of your enterprise,Number of the experimental field (insert an integer number in ascending order from 1. Required if the same enterprise has more than one field),Country,Region or County,Year of assessment (this information is only used to asses the percentage of renewable energy in the national electricity grid),Brief description of your field,"Field latitude (in degrees. Positive northern Hemisphere, negative southern Hemisphere Example: 44.78)","Field longitude (in degrees. Positive eastern Hemisphere, negative western  Hemisphere Example: 11.40)",Field size (Enter the value in hectares),Field slope (%),Annual average temperature in °C (If not known write -9999),Annual rainfall in mm (If not known write -9999),Reference Evapotranspiration (ET0) in mm.   If not known write -9999),Climatic Water Balance in mm. If not known write -9999),"Soil depth (cm, integer number, if not known write -9999)",Soil drainage properties,Soil pH (enter a numeric value),Soil texture,Soil organic matter (% use dot for decimals),Soil skeleton (%),Available Water Capacity (mm),Total Nitrogen in soil (%),C:N ratio (-),Type of crop,Density of trees in the present year (nr./ha),Density of trees in the last year minus density of trees in the present year (do not account replaced trees nr/ha the result can namely be also negative),Orchard/Vineyard age (years),"Tree/vine DBH (cm DBH= Diameter at Breast Height, namely 130 cm)",Tree height (cm),Organic management,Yield (fresh weight in t/ha),Area managed through no-tillage (square metres),Area managed through minimum-tillage area (square metres),Area where winter cover crops are used (square metres),Permanent grass or grassed orchard/grassed vineyard area (square metres) ,Forestry crop area (square metres) ,"Sparse vegetation, shrubs, hedges (square metres)",Above ground woody residue dry weight treatment 1 (tons/ha). If not known write -9999,Above ground woody residue dry weight treatment 2 (tons/ha). If not known write -9999. If no second choice is needed please put 0.,Woody Residue treatment 1,Woody Residue treatment 2,Above ground green residue dry weight treatment 1 (tons/ha). If not known write -9999,Above ground green residue dry weight treatment 2 (tons/ha). If not known write -9999. If no second choice is needed please put 0.,Green Residue treatment 1,Green Residue treatment 2,Cumulated weight of active principles of applied pesticides (Enter a numeric value in kg/ha),Fertilizer n. 1,Fertilizer n. 2,Fertilizer n. 3,Fertilizer n. 4,Product application rate for fertilizer n. 1 (Enter a numeric value in kg/ha),Product application rate for fertilizer n. 2 (Enter a numeric value in kg/ha),Product application rate for fertilizer n. 3 (Enter a numeric value in kg/ha),Product application rate for fertilizer n. 4 (Enter a numeric value in kg/ha),Application method for fertilizer n. 1,Application method for fertilizer n. 2,Application method for fertilizer n. 3,Application method for fertilizer n. 4,Emissions inhibitors for fertilizer n. 1,Emissions inhibitors for fertilizer n. 2,Emissions inhibitors for fertilizer n. 3,Emissions inhibitors for fertilizer n. 4,Amendment n. 1 ,Amendment n. 2,Amendment n. 3,Amendment n. 4,Product application rate for amendment n. 1 (Enter a numeric value for dry weight in kg/ha),Product application rate for amendment n. 2 (Enter a numeric value for dry weight in kg/ha),Product application rate for amendment n. 3 (Enter a numeric value for dry weight in kg/ha),Product application rate for amendment n. 4 (Enter a numeric value for dry weight in kg/ha),Application method for amendment n. 1,Application method for amendment n. 2,Application method for amendment n. 3,Application method for amendment n. 4,Emissions inhibitors for amendment n. 1,Emissions inhibitors for amendment n. 2,Emissions inhibitors for amendment n. 3,Emissions inhibitors for amendment n. 4,Energy from biodiesel (litres/ha) (Enter a numeric value),Energy from bioethanol (litres/ha) (Enter a numeric value),Energy from diesel (litres/ha) (Enter a numeric value),Energy from oil (litres/ha) (Enter a numeric value),Energy from petrol (litres/ha) (Enter a numeric value),Energy from LPG (litres/ha) (Enter a numeric value),Energy from coal (kg/ha) (Enter a numeric value),Energy from high energy density biomass/ pellet (kg/ha) (Enter a numeric value),Energy from wood (kg/ha) (Enter a numeric value),Energy from methane (kg/ha) (Enter a numeric value),Energy from grid (kWh/ha) (Enter a numeric value),Percentage of renewables of your provider (%). If you don't know write -9999. It will be adopted the default value of your contry (recorded or forecast),Energy from own hydropower plant (kWh/ha) (Enter a numeric value),Energy from own photovoltaic plant (kWh/ha) (Enter a numeric value),Energy from own aeolian plant (kWh/ha) (Enter a numeric value),Number of practices used in farm management in the frame of GECO2	Enter the number of practices used in farm management in order to increase organic 	carbon in the soil 	Set a number between 3 and 10.	(Please find the list of project practices in question below),Highlight the practices already in use in farm management (before participation in GECO2)	Please select the boxes related to the following management practices:,Declare which management improvement will be implemented for the GECO2 project	Please choose at least three of the following farm management practices	(remember that a minimum of three practices is needed to be entitled to participate to GECO2):,Declare which management improvements will be continued and implemented after GECO2  	conclusion in order to maintainand increase soil organic carbon:	Please select between the following farm management practices
2020/12/10 3:34:02 PM EET,,Antonio Volta prova form definitivo,,ITALY,,2020,,44.5,11.6,2,0.1,13.7,876,1176,-300,39,Poor,7.9,Medium,1.3,5,500,2,25,APPLE_TREE,1000,5,13,14,322,No,50,0,0,0,0,50,50,0.5,0.9,Left_on_field_incorporated_or_mulch,Biochar,0.3,-9999,Left_on_field_incorporated_or_mulch,Exported_off_farm,12,Ammonium_Nitrate,Urea_46_4N,None,None,100,55,0,0,Incorporate,Incorporate,Incorporate,Incorporate,None,None,None,None,Cattle_Farmyard_Manure_0_6N,Pig_Slurry_0_36N,Wood_Chips,None,500,500,50,0,Spread,Spread,Spread,Spread,None,None,None,None,0,0,50,0,0,0,0,0,20,0,150,-9999,10,10,10,,,,
2020/12/28 11:02:29 AM EET,,Prova1 Marche,,ITALY,,2014,,43.2,14.16,15,5,14.5,650,-9999,-9999,60,Good,7,Fine,1.2,0,150,0.3,9.6,OLIVE_TREE,278,0,30,27,,Yes,1,0,50000,0,50000,0,0,-9999,-9999,Left_on_field_incorporated_or_mulch,Left_on_field_incorporated_or_mulch,-9999,-9999,Left_on_field_incorporated_or_mulch,Left_on_field_incorporated_or_mulch,20,None,None,None,None,0,0,0,0,Apply_in_solution,Apply_in_solution,Apply_in_solution,Apply_in_solution,None,None,None,None,None,None,None,None,0,0,0,0,Apply_in_solution,Apply_in_solution,Apply_in_solution,Apply_in_solution,None,None,None,None,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2021/01/18 1:51:26 PM EET,,Maraska d.d.,1,CROATIA,,2021,,44.1,15.35,130,1,15,922,390,-9999,15,Good,7.1,Coarse,1,50,100,0.14,0.5,STONE_FRUIT_TREE,500,0,16,,400,No,3,0,0,0,0,30000,10000,-9999,-9999,Burned,Burned,-9999,-9999,Burned,Burned,3,Ammonium_Sulphate,Triple_Super_Phosphate_48P2O5,Compound_NPK_15N_15K2O_15P2O5,Urea_46_4N,150,200,150,130,Spread,Spread,Spread,Spread,None,None,None,None,None,None,None,None,0,0,0,0,Spread,Spread,Spread,Spread,None,None,None,None,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2021/01/19 9:17:31 AM EET,,Boris,1,CROATIA,,2020,,42.41,18.03,1,5,17,1250,-9999,-9999,35,Good,6.7,Medium,2.1,14,150,2.1,14,GRAPEVINE,6000,0,12,5,120,No,8,0,10000,0,0,0,25,-9999,-9999,Left_on_field_incorporated_or_mulch,Left_on_field_incorporated_or_mulch,-9999,-9999,Left_on_field_incorporated_or_mulch,Left_on_field_incorporated_or_mulch,1,Compound_NPK_15N_15K2O_15P2O5,None,Urea_46_4N,None,250,0,150,0,Spread,Apply_in_solution,Incorporate,Apply_in_solution,None,None,None,None,None,None,None,None,0,0,0,0,Incorporate,Incorporate,Incorporate,Incorporate,None,None,None,None,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2021/01/25 7:24:48 PM EET,,Prova,2,ITALY,,2024,,45.18,11.5,10,3,12,700,-9999,-9999,200,Good,7.8,Medium,1.8,0,-9999,1.5,8.5,STONE_FRUIT_TREE,400,0,8,10,350,No,20,100000,0,0,9,0,1000,-9999,-9999,Left_on_field_incorporated_or_mulch,Left_on_field_incorporated_or_mulch,-9999,-9999,Left_on_field_incorporated_or_mulch,Left_on_field_incorporated_or_mulch,-9999,Ammonium_Nitrate,Urea_Ammonium_Nitrate_Solution_32N,Calcium_Nitrate,Ammonium_Sulphate,50,50,50,50,Spread,Spread_or_incorporate_then_flood,Spread,Incorporate,None,None,None,None,None,None,None,None,50,50,50,50,Spread,Spread,Incorporate,Incorporate,None,None,None,None,0,0,-9999,-9999,-9999,-9999,0,0,0,-9999,-9999,-9999,-9999,0,0,,,,
2021/01/29 3:04:23 PM EET,,azienda_tradizionale,1,ITALY,,2021,business as usual,45.18,11.6,1,0.1,13,1000,-9999,-9999,100,Good,8,Fine,1.2,5,-9999,2,25,APPLE_TREE,300,3,6,15,200,No,60,0,0,0,3000,0,0,0,0,Exported_off_farm,Exported_off_farm,0.5,0,Left_on_field_incorporated_or_mulch,Left_on_field_incorporated_or_mulch,20,Ammonium_Bicarbonate,Ammonium_Nitrate,Compound_NPK_15N_15K2O_15P2O5,Lime_52CaO,50,50,50,50,Incorporate,Incorporate,Incorporate,Incorporate,None,None,None,None,None,None,None,None,0,0,0,0,Apply_in_solution,Apply_in_solution,Apply_in_solution,Apply_in_solution,None,None,None,None,0,0,100,0,0,0,0,0,0,0,1000,0,0,0,0,,,,
2021/01/29 3:08:47 PM EET,,azienda_smart,1,ITALY,,2021,biodinamico,45.18,11.6,1,0.1,13,1000,-9999,-9999,100,Poor,8,Fine,1.2,5,-9999,2,25,APPLE_TREE,300,3,25,15,200,Yes,50,1000,0,1000,9000,0,0,0.8,0.3,Left_on_field_incorporated_or_mulch,Biochar,0.5,0,Left_on_field_incorporated_or_mulch,Left_on_field_incorporated_or_mulch,5,None,None,None,None,0,0,0,0,Apply_in_solution,Apply_in_solution,Apply_in_solution,Apply_in_solution,None,None,None,None,Sheep_Farmyard_Manure_0_7N,Broiler_Turkey_Litter_3_N,Volcanic_Rock_Dust,Straw,50,50,50,50,Incorporate,Incorporate,Incorporate,Incorporate,None,None,None,None,100,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,,,,
2021/02/03 4:59:49 PM EET,Antonio Volta,enterprise,1,ITALY,Emilia-Romagna,2021,niente da dichiarare,45.18,11.5,1,0.1,15,620,-9999,-9999,100,Poor,7.5,Coarse,1.2,32,-9999,-9999,-9999,GRAPEVINE,3000,-4,30,15,150,Yes,1.2,1000,0,1000,5000,1000,200,0.5,0.2,Left_on_field_incorporated_or_mulch,Burned,0.4,0,Left_on_field_incorporated_or_mulch,Left_on_field_incorporated_or_mulch,10,None,None,None,None,0,0,0,0,Apply_in_solution,Apply_in_solution,Apply_in_solution,Apply_in_solution,None,None,None,None,Pig_Farmyard_Manure_0_7N,Pig_Slurry_0_36N,Straw,Digestate_6Percent_Drymatter,50,20,100,100,Incorporate,Incorporate,Incorporate,Incorporate,None,None,None,None,100,0,0,0,0,0,0,0,0,0,1200,0,0,0,0,,,,
2021/02/05 11:36:16 AM EET,Antonio Volta,prova domande obbligatorie e no,1,ITALY,Emilia-Romagna,2021,nothing,44.5,11.5,1,0.1,15,780,-9999,-9999,100,Poor,7.6,Fine,1.2,5,,,,APPLE_TREE,1200,5,25,,,Yes,65,500,500,500,500,500,500,0.7,0,Left_on_field_incorporated_or_mulch,Left_on_field_incorporated_or_mulch,0.4,0,Left_on_field_incorporated_or_mulch,Left_on_field_incorporated_or_mulch,5,None,None,None,None,0,0,0,0,Apply_in_solution,Apply_in_solution,Apply_in_solution,Apply_in_solution,None,None,None,None,None,None,None,None,0,0,0,0,Apply_in_solution,Apply_in_solution,Apply_in_solution,Apply_in_solution,None,None,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2021/02/23 1:57:35 PM EET,Sveucilišno dobro Baštica,Tomislav Kos,1,CROATIA,Zadar,2021,Apple orchard,44.25,15.43,1,0.5,-9999,-9999,-9999,-9999,100,Good,8,Medium,1.51,0,-9999,0.13,-9999,APPLE_TREE,2461,-62,14,75,225,No,25,10000,0,0,65000,0,0,-9999,-9999,Left_on_field_incorporated_or_mulch,Left_on_field_incorporated_or_mulch,-9999,-9999,Left_on_field_incorporated_or_mulch,Left_on_field_incorporated_or_mulch,44.65,Monoammonium_Phosphate _11N_52P2O5,Calcium_Nitrate,None,None,35,4,0,0,Apply_in_solution,Apply_in_solution,Apply_in_solution,Apply_in_solution,None,None,None,None,None,None,None,None,0,0,0,0,Apply_in_solution,Apply_in_solution,Apply_in_solution,Apply_in_solution,None,None,None,None,0,0,200,0,0,0,0,0,0,0,0,-9999,-9999,-9999,-9999,,,,
2021/02/23 2:24:44 PM EET,Josip Razov,Ferotrap d.o.o.,1,CROATIA,Zadar,2021,Olive and sour cherry orchard,44.1,15.4,0.8,0.5,14.3,930,356,-9999,1,Good,7,Fine,1.8,0,-9999,0.09,-9999,OLIVE_TREE,277,0,15,21,300,No,10.7,8000,0,8000,8000,0,100,-9999,-9999,Left_on_field_incorporated_or_mulch,Left_on_field_incorporated_or_mulch,-9999,-9999,Left_on_field_incorporated_or_mulch,Left_on_field_incorporated_or_mulch,2,Ammonium_Sulphate,Compound_NPK_15N_15K2O_15P2O5,Triple_Super_Phosphate_48P2O5,None,250,400,333,0,Spread,Spread,Spread,Not_applied,None,None,None,None,None,None,None,None,0,0,0,0,Not_applied,Not_applied,Not_applied,Not_applied,None,None,None,None,0,0,100,0,0,0,0,0,0,0,0,-9999,0,0,0,,,,
2021/02/23 3:42:15 PM EET,Josip Razov,Olvin Plus d.o.o.,1,CROATIA,Zadar,2021,Mixed orchard,44.15,15.28,50,1,14.3,930,722,-9999,0.2,Good,7.2,Coarse,3,45,-9999,0.2,-9999,STONE_FRUIT_TREE,500,0,8,10,350,No,5,0,0,140000,140000,0,0,-9999,-9999,Left_on_field_incorporated_or_mulch,Left_on_field_incorporated_or_mulch,-9999,-9999,Left_on_field_incorporated_or_mulch,Left_on_field_incorporated_or_mulch,6,Compound_NPK_15N_15K2O_15P2O5,Ammonium_Sulphate,Triple_Super_Phosphate_48P2O5,None,200,150,250,0,Spread,Spread,Spread,Not_applied,None,None,None,None,None,None,None,None,0,0,0,0,Not_applied,Not_applied,Not_applied,Not_applied,None,None,None,None,0,0,12000,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2021/02/23 3:52:43 PM EET,Josip Razov,Nida Grupa d.o.o.,1,CROATIA,Zadar,2021,Orchard,44.3,15.22,30,3,14.3,930,722,-9999,20,Good,7.5,Coarse,4.7,50,-9999,0.19,-9999,OLIVE_TREE,500,0,6,8,150,No,0.1,0,0,300000,300000,0,0,-9999,-9999,Left_on_field_incorporated_or_mulch,Left_on_field_incorporated_or_mulch,-9999,-9999,Left_on_field_incorporated_or_mulch,Left_on_field_incorporated_or_mulch,3.5,Compound_NPK_15N_15K2O_15P2O5,Ammonium_Sulphate,Triple_Super_Phosphate_48P2O5,None,100,100,250,0,Apply_in_solution,Spread,Spread,Not_applied,None,None,None,None,None,None,None,None,0,0,0,0,Not_applied,Not_applied,Not_applied,Not_applied,None,None,None,None,0,0,9000,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2021/02/23 5:03:15 PM EET,Josip Razov,Tresnja d.o.o.,1,CROATIA,Zadar,2021,Cherry orchard,44.21,15.23,32,0,14.3,930,722,-9999,20,Good,7.5,Coarse,4,50,-9999,0.23,-9999,STONE_FRUIT_TREE,570,0,6,18,300,No,1,0,0,0,320000,0,0,-9999,-9999,Left_on_field_incorporated_or_mulch,Left_on_field_incorporated_or_mulch,-9999,-9999,Left_on_field_incorporated_or_mulch,Left_on_field_incorporated_or_mulch,8,Compound_NPK_15N_15K2O_15P2O5,Ammonium_Nitrate,Triple_Super_Phosphate_48P2O5,None,150,100,250,0,Apply_in_solution,Apply_in_solution,Spread,Not_applied,None,None,None,None,None,None,None,None,0,0,0,0,Not_applied,Not_applied,Not_applied,Not_applied,None,None,None,None,0,0,9600,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2021/04/07 7:30:13 PM EET,y,y,y,CROATIA,Dubrovnik_Neretva,1,dyg,43.2,17.3,1,3,20,756,-9999,-9999,50,Poor,7,Coarse,3,2,45,3,60,PEAR_TREE,3000,0,15,20,250,Yes,45,5000,5000,0,7500,0,250,-9999,-9999,Exported_off_farm,Exported_off_farm,-9999,-9999,Left_on_field_incorporated_or_mulch,None,5,Compound_NK_14N_44_K2O,Compound_NPK_15N_15K2O_15P2O5,None,None,500,250,0,0,Apply_in_solution,Spread_or_incorporate_then_flood,Not_applied,Not_applied,None,None,None,None,None,None,None,None,0,0,0,0,Not_applied,Not_applied,Not_applied,Not_applied,None,None,None,None,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,,reuse of green residues (e.g. green mulch) in order to improve soil organic matter,"application of a conservative soil tillage (no tillage or minimum tillage);use of cover crops;farm management with hedge, rows and forest patch integrated within field crops;reuse of wood residues in order to improve soil organic matter","use of cover crops;farm management with hedge, rows and forest patch integrated within field crops;reuse of wood residues in order to improve soil organic matter"
2021/04/13 8:29:18 AM EET,Sasa ivan Vrdoljak,Alcina,1,CROATIA,Zadar,2021,cherry orchard,45.1,12.15,2.4,10,14.5,2300,-9999,-9999,70,Good,5.8,Medium,8.4,20,1500,0.3,2,OTHER_FAST_GROWTH_TREE,500,10,15,250,200,No,2.3,400,200,0,0,0,200,-9999,-9999,Nonforced_aeration_compost,Biochar,-9999,-9999,Left_untreated_in_heaps_pits,Nonforced_aeration_compost,30,Compound_NPK_15N_15K2O_15P2O5,Urea_Ammonium_Nitrate_Solution_32N,Ammonium_Sulphate_Nitrate_26,None,20,5,5,0,Spread,Spread,Spread,Apply_in_solution,None,None,None,None,None,None,None,None,0,0,0,0,Not_applied,Not_applied,Apply_in_solution,Apply_in_solution,None,None,None,None,0,0,230,0,0,0,0,0,0,0,40,-9999,0,0,0,3,"reuse of wood residues in order to improve soil organic matter;reuse of green residues (e.g. green mulch) in order to improve soil organic matter;Reduction in pesticides application (application rate lower than 3 kg / ha of pesticides, 'pesticide' prevents, destroys, or controls a harmful organism ('pest') or disease. Pesticides include Plant Protection Products (PPPs) and biocides)",use of cover crops,use of cover crops;Optimal management of farm residues (emission lower than 20 kgCO2Eq / ha). This means that biomass burning and biomass accumulation by means of heap is avoided